filing_date,source_available_date,source_accession,section,feature_type,feature_name,value,prev_filing_date
2019-02-21,2019-02-21,0001045810-19-000023,risk_factors,tfidf_similarity,cosine_similarity,0.989867,2018-02-28
2020-02-20,2020-02-20,0001045810-20-000010,risk_factors,tfidf_similarity,cosine_similarity,0.990088,2019-02-21
2021-02-26,2021-02-26,0001045810-21-000010,risk_factors,tfidf_similarity,cosine_similarity,0.924475,2020-02-20
2022-03-18,2022-03-18,0001045810-22-000036,risk_factors,tfidf_similarity,cosine_similarity,0.917333,2021-02-26
2023-02-24,2023-02-24,0001045810-23-000017,risk_factors,tfidf_similarity,cosine_similarity,0.960405,2022-03-18
2024-02-21,2024-02-21,0001045810-24-000029,risk_factors,tfidf_similarity,cosine_similarity,0.968624,2023-02-24
2025-02-26,2025-02-26,0001045810-25-000023,risk_factors,tfidf_similarity,cosine_similarity,0.984042,2024-02-21
2026-02-25,2026-02-25,0001045810-26-000021,risk_factors,tfidf_similarity,cosine_similarity,0.984867,2025-02-26
2017-08-23,2017-08-23,0001045810-17-000123,mda,tfidf_similarity,cosine_similarity,0.565676,2017-05-23
2017-11-21,2017-11-21,0001045810-17-000172,mda,tfidf_similarity,cosine_similarity,0.515172,2017-08-23
2018-02-28,2018-02-28,0001045810-18-000010,mda,tfidf_similarity,cosine_similarity,0.030639,2017-11-21
2018-05-22,2018-05-22,0001045810-18-000080,mda,tfidf_similarity,cosine_similarity,0.037639,2018-02-28
2018-08-16,2018-08-16,0001045810-18-000114,mda,tfidf_similarity,cosine_similarity,0.451351,2018-05-22
2018-11-15,2018-11-15,0001045810-18-000150,mda,tfidf_similarity,cosine_similarity,0.515172,2018-08-16
2019-02-21,2019-02-21,0001045810-19-000023,mda,tfidf_similarity,cosine_similarity,0.036835,2018-11-15
2019-11-14,2019-11-14,0001045810-19-000170,mda,tfidf_similarity,cosine_similarity,0.031151,2019-02-21
2020-02-20,2020-02-20,0001045810-20-000010,mda,tfidf_similarity,cosine_similarity,0.037852,2019-11-14
2020-05-21,2020-05-21,0001045810-20-000065,mda,tfidf_similarity,cosine_similarity,0.048485,2020-02-20
2020-08-19,2020-08-19,0001045810-20-000147,mda,tfidf_similarity,cosine_similarity,0.030723,2020-05-21
2020-11-18,2020-11-18,0001045810-20-000189,mda,tfidf_similarity,cosine_similarity,0.849555,2020-08-19
2021-02-26,2021-02-26,0001045810-21-000010,mda,tfidf_similarity,cosine_similarity,0.77681,2020-11-18
2021-05-26,2021-05-26,0001045810-21-000064,mda,tfidf_similarity,cosine_similarity,0.049349,2021-02-26
2021-08-20,2021-08-20,0001045810-21-000131,mda,tfidf_similarity,cosine_similarity,0.556664,2021-05-26
2021-11-22,2021-11-22,0001045810-21-000163,mda,tfidf_similarity,cosine_similarity,1.0,2021-08-20
2022-03-18,2022-03-18,0001045810-22-000036,mda,tfidf_similarity,cosine_similarity,0.04093,2021-11-22
2022-05-27,2022-05-27,0001045810-22-000079,mda,tfidf_similarity,cosine_similarity,0.061672,2022-03-18
2022-08-31,2022-08-31,0001045810-22-000147,mda,tfidf_similarity,cosine_similarity,0.537123,2022-05-27
2022-11-18,2022-11-18,0001045810-22-000166,mda,tfidf_similarity,cosine_similarity,0.556664,2022-08-31
2023-02-24,2023-02-24,0001045810-23-000017,mda,tfidf_similarity,cosine_similarity,0.038173,2022-11-18
2023-05-26,2023-05-26,0001045810-23-000093,mda,tfidf_similarity,cosine_similarity,0.043703,2023-02-24
2023-08-28,2023-08-28,0001045810-23-000175,mda,tfidf_similarity,cosine_similarity,0.565676,2023-05-26
2023-11-21,2023-11-21,0001045810-23-000227,mda,tfidf_similarity,cosine_similarity,1.0,2023-08-28
2024-02-21,2024-02-21,0001045810-24-000029,mda,tfidf_similarity,cosine_similarity,0.043731,2023-11-21
2024-05-29,2024-05-29,0001045810-24-000124,mda,tfidf_similarity,cosine_similarity,0.041899,2024-02-21
2024-08-28,2024-08-28,0001045810-24-000264,mda,tfidf_similarity,cosine_similarity,0.556664,2024-05-29
2024-11-20,2024-11-20,0001045810-24-000316,mda,tfidf_similarity,cosine_similarity,1.0,2024-08-28
2025-02-26,2025-02-26,0001045810-25-000023,mda,tfidf_similarity,cosine_similarity,0.039659,2024-11-20
2025-05-28,2025-05-28,0001045810-25-000116,mda,tfidf_similarity,cosine_similarity,0.036703,2025-02-26
2025-08-27,2025-08-27,0001045810-25-000209,mda,tfidf_similarity,cosine_similarity,0.499406,2025-05-28
2025-11-19,2025-11-19,0001045810-25-000230,mda,tfidf_similarity,cosine_similarity,0.548364,2025-08-27
2026-02-25,2026-02-25,0001045810-26-000021,mda,tfidf_similarity,cosine_similarity,0.083143,2025-11-19
2026-02-25,2026-02-25,0001045810-26-000021,business,keyword_score,ai_accelerated_computing,0.019511,
2026-02-25,2026-02-25,0001045810-26-000021,business,keyword_score,data_center,0.009897,
2026-02-25,2026-02-25,0001045810-26-000021,business,keyword_score,export_controls_china,0.003959,
2026-02-25,2026-02-25,0001045810-26-000021,business,keyword_score,supply_constraints,0.00311,
2026-02-25,2026-02-25,0001045810-26-000021,business,keyword_score,competition,0.004666,
2026-02-25,2026-02-25,0001045810-26-000021,business,keyword_score,customer_concentration,0.0,
2026-02-25,2026-02-25,0001045810-26-000021,business,keyword_score,gaming_cyclicality,0.006362,
2026-02-25,2026-02-25,0001045810-26-000021,business,keyword_score,margin_pricing_pressure,0.000707,
2026-02-25,2026-02-25,0001045810-26-000021,business,keyword_score,inventory_demand_cyclicality,0.001131,
2026-02-25,2026-02-25,0001045810-26-000021,risk_factors,keyword_score,ai_accelerated_computing,0.004124,
2026-02-25,2026-02-25,0001045810-26-000021,risk_factors,keyword_score,data_center,0.001743,
2026-02-25,2026-02-25,0001045810-26-000021,risk_factors,keyword_score,export_controls_china,0.004821,
2026-02-25,2026-02-25,0001045810-26-000021,risk_factors,keyword_score,supply_constraints,0.003659,
2026-02-25,2026-02-25,0001045810-26-000021,risk_factors,keyword_score,competition,0.002382,
2026-02-25,2026-02-25,0001045810-26-000021,risk_factors,keyword_score,customer_concentration,0.0,
2026-02-25,2026-02-25,0001045810-26-000021,risk_factors,keyword_score,gaming_cyclicality,0.001626,
2026-02-25,2026-02-25,0001045810-26-000021,risk_factors,keyword_score,margin_pricing_pressure,0.000813,
2026-02-25,2026-02-25,0001045810-26-000021,risk_factors,keyword_score,inventory_demand_cyclicality,0.005112,
2026-02-25,2026-02-25,0001045810-26-000021,mda,keyword_score,ai_accelerated_computing,0.00381,
2026-02-25,2026-02-25,0001045810-26-000021,mda,keyword_score,data_center,0.006667,
2026-02-25,2026-02-25,0001045810-26-000021,mda,keyword_score,export_controls_china,0.001143,
2026-02-25,2026-02-25,0001045810-26-000021,mda,keyword_score,supply_constraints,0.00381,
2026-02-25,2026-02-25,0001045810-26-000021,mda,keyword_score,competition,0.001524,
2026-02-25,2026-02-25,0001045810-26-000021,mda,keyword_score,customer_concentration,0.0,
2026-02-25,2026-02-25,0001045810-26-000021,mda,keyword_score,gaming_cyclicality,0.000571,
2026-02-25,2026-02-25,0001045810-26-000021,mda,keyword_score,margin_pricing_pressure,0.003619,
2026-02-25,2026-02-25,0001045810-26-000021,mda,keyword_score,inventory_demand_cyclicality,0.009714,
2026-02-25,2026-02-25,0001045810-26-000021,quant,keyword_score,ai_accelerated_computing,0.0,
2026-02-25,2026-02-25,0001045810-26-000021,quant,keyword_score,data_center,0.0,
2026-02-25,2026-02-25,0001045810-26-000021,quant,keyword_score,export_controls_china,0.0,
