ticker,fiscal_period,fiscal_year,filing_date,source_available_date,source_accession,original_label,normalized_category,value,unit,extraction_method,mapping_notes
NVDA,Q2,2009,2009-08-20,2009-08-20,0001045810-09-000024,segment_revenue,other,1440751000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2009,2009-11-19,2009-11-19,0001045810-09-000036,segment_revenue,other,2343957000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,FY,2010,2013-03-12,2013-03-12,0001045810-13-000008,segment_revenue,other,3543309000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2010,2010-05-21,2010-05-21,0001045810-10-000018,segment_revenue,other,1001813000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2010,2010-12-07,2010-12-07,0001045810-10-000045,segment_revenue,other,2656933000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,FY,2011,2014-03-13,2014-03-13,0001045810-14-000030,segment_revenue,other,3997930000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q1,2011,2011-05-27,2011-05-27,0001045810-11-000031,segment_revenue,other,962039000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2011,2011-08-25,2011-08-25,0001045810-11-000046,segment_revenue,other,1978556000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2011,2011-11-22,2011-11-22,0001045810-11-000056,segment_revenue,other,3044736000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,FY,2012,2015-03-12,2015-03-12,0001045810-15-000036,segment_revenue,other,4280159000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q1,2012,2012-05-23,2012-05-23,0001045810-12-000027,segment_revenue,other,924877000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2012,2012-08-22,2012-08-22,0001045810-12-000036,segment_revenue,other,1969147000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2012,2012-11-19,2012-11-19,0001045810-12-000060,segment_revenue,other,3173257000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,FY,2013,2016-03-17,2016-03-17,0001045810-16-000205,segment_revenue,other,4130000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q1,2013,2013-05-22,2013-05-22,0001045810-13-000054,segment_revenue,other,954739000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2013,2013-08-21,2013-08-21,0001045810-13-000075,segment_revenue,other,1931977000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2013,2013-11-19,2013-11-19,0001045810-13-000109,segment_revenue,other,2985944000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q1,2014,2014-05-21,2014-05-21,0001045810-14-000085,segment_revenue,other,1102787000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,FY,2015,2017-03-01,2017-03-01,0001045810-17-000027,segment_revenue,other,4682000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2015,2014-08-20,2014-08-20,0001045810-14-000158,segment_revenue,other,2205611000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2015,2014-11-19,2014-11-19,0001045810-14-000188,segment_revenue,other,3430993000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,FY,2016,2018-02-28,2018-02-28,0001045810-18-000010,segment_revenue,other,5010000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q1,2016,2015-05-20,2015-05-20,0001045810-15-000097,segment_revenue,other,1151000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2016,2015-08-19,2015-08-19,0001045810-15-000143,segment_revenue,other,2304000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2016,2015-11-18,2015-11-18,0001045810-15-000173,segment_revenue,other,3609000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,FY,2017,2019-02-21,2019-02-21,0001045810-19-000023,segment_revenue,other,6910000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q1,2017,2016-05-25,2016-05-25,0001045810-16-000275,segment_revenue,other,1305000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2017,2016-08-23,2016-08-23,0001045810-16-000300,segment_revenue,other,2733000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2017,2016-11-22,2016-11-22,0001045810-16-000353,segment_revenue,other,4737000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
