ticker,market_cap,total_debt,total_cash,revenue,ebitda,net_income,free_cash_flow,source_date,source_available_date,stale_ev,retrieval_timestamp
AMD,587828363264,4006000128,10552000512,34638999552,6744999936,4268999936,4587250176,2025-12-27,2026-05-03,True,2026-05-03T02:50:31.323986+00:00
AVGO,1994621059072,66056998912,14174000128,68281999360,37218000896,24971999232,25503750144,2026-02-01,2026-05-03,False,2026-05-03T02:50:31.323986+00:00
INTC,500690124800,45030998016,32789000192,53762998272,14174000128,-3174000128,-8301250048,2026-03-28,2026-05-03,False,2026-05-03T02:50:31.323986+00:00
QCOM,186568540160,15269999616,9799000064,44486000640,12999000064,9923999744,9589624832,2026-03-29,2026-05-03,False,2026-05-03T02:50:31.323986+00:00
MRVL,144241885184,4790300160,2638799872,8194599936,2629499904,2670099968,1442787456,2026-01-31,2026-05-03,False,2026-05-03T02:50:31.323986+00:00
TSM,2062475853824,1016267997184,3383600873472,4103903379456,2856460222464,1908519993344,721560469504,2026-03-31,2026-05-03,False,2026-05-03T02:50:31.323986+00:00
ASML,549998690304,2705600000,8376300032,33692700672,12704400384,10011100160,8243274752,2026-03-29,2026-05-03,False,2026-05-03T02:50:31.323986+00:00
MSFT,3078640631808,125431996416,78227996672,318272995328,184457003008,125215997952,37011251200,2026-03-31,2026-05-03,False,2026-05-03T02:50:31.323986+00:00
AMZN,2884935614464,209888002048,143088992256,742775980032,155860992000,90797998080,27258624000,2026-03-31,2026-05-03,False,2026-05-03T02:50:31.323986+00:00
GOOGL,4672805404672,95875997696,126839996416,422498009088,161315995648,160207994880,27472750592,2026-03-31,2026-05-03,False,2026-05-03T02:50:31.323986+00:00
META,1545252503552,86769000448,81180000256,214962995200,109308002304,70586998784,25059500032,2026-03-31,2026-05-03,False,2026-05-03T02:50:31.323986+00:00
